Comparison,CellType,Gene,Number of Datasets its Upgregulated in,Average log2FC,GeneName
TH0vsTH1,CD4_TH1,ENSG00000111537,2,4.21,IFNG
TH0vsTH1,CD4_TH1,ENSG00000115607,2,3.37,IL18RAP
TH0vsTH1,CD4_TH1,ENSG00000138684,2,3.11,IL21
TH0vsTH1,CD4_TH1,ENSG00000227145,1,3.04,IL21-AS1
TH0vsTH1,CD4_TH1,ENSG00000111536,1,3.03,IL26
TH0vsTH1,CD4_TH1,ENSG00000162594,2,2.58,IL23R
TH0vsTH1,CD4_TH1,ENSG00000180549,1,2.55,FUT7
TH0vsTH1,CD4_TH1,ENSG00000140563,1,2.44,MCTP2
TH0vsTH1,CD4_TH1,ENSG00000100453,1,2.42,GZMB
TH0vsTH1,CD4_TH1,ENSG00000138685,1,2.25,FGF2
TH0vsTH1,CD4_TH1,ENSG00000100450,1,2.25,GZMH
TH0vsTH1,CD4_TH1,ENSG00000123689,1,1.83,G0S2
TH0vsTH1,CD4_TH1,ENSG00000138772,1,1.7,ANXA3
TH0vsTH1,CD4_TH1,ENSG00000181004,1,1.68,BBS12
TH0vsTH1,CD4_TH1,ENSG00000135362,1,1.6,PRR5L
TH0vsTH1,CD4_TH1,ENSG00000083454,1,1.16,P2RX5
TH2vsTH1,CD4_TH1,ENSG00000145850,4,5.1,TIMD4
TH2vsTH1,CD4_TH1,ENSG00000169071,1,4.55,ROR2
TH2vsTH1,CD4_TH1,ENSG00000123689,2,4.54,G0S2
TH2vsTH1,CD4_TH1,ENSG00000255733,5,4.52,IFNG-AS1
TH2vsTH1,CD4_TH1,ENSG00000138684,2,4.32,IL21
TH2vsTH1,CD4_TH1,ENSG00000171617,3,4.2,ENC1
TH2vsTH1,CD4_TH1,ENSG00000104447,4,3.92,TRPS1
TH2vsTH1,CD4_TH1,ENSG00000073861,5,3.74,TBX21
TH2vsTH1,CD4_TH1,ENSG00000172348,2,3.72,RCAN2
TH2vsTH1,CD4_TH1,ENSG00000253230,1,3.65,LINC00599
TH2vsTH1,CD4_TH1,ENSG00000111537,4,3.4,IFNG
TH2vsTH1,CD4_TH1,ENSG00000275302,2,3.27,CCL4
TH2vsTH1,CD4_TH1,ENSG00000279073,1,3.25,ENSG00000279073
TH2vsTH1,CD4_TH1,ENSG00000234389,3,3.25,ENSG00000234389
TH2vsTH1,CD4_TH1,ENSG00000236525,2,3.11,ENSG00000236525
TH2vsTH1,CD4_TH1,ENSG00000081985,3,3.09,IL12RB2
TH2vsTH1,CD4_TH1,ENSG00000160683,2,3,CXCR5
TH2vsTH1,CD4_TH1,ENSG00000186810,4,2.95,CXCR3
TH2vsTH1,CD4_TH1,ENSG00000151136,3,2.89,BTBD11
TH2vsTH1,CD4_TH1,ENSG00000104043,2,2.88,ATP8B4
TH2vsTH1,CD4_TH1,ENSG00000138772,2,2.78,ANXA3
TH2vsTH1,CD4_TH1,ENSG00000113088,3,2.76,GZMK
TH2vsTH1,CD4_TH1,ENSG00000221869,2,2.72,CEBPD
TH2vsTH1,CD4_TH1,ENSG00000271503,4,2.69,CCL5
TH2vsTH1,CD4_TH1,ENSG00000115607,5,2.66,IL18RAP
TH2vsTH1,CD4_TH1,ENSG00000176083,1,2.6,ZNF683
TH2vsTH1,CD4_TH1,ENSG00000111536,1,2.55,IL26
TH2vsTH1,CD4_TH1,ENSG00000163220,2,2.48,S100A9
TH2vsTH1,CD4_TH1,ENSG00000154451,4,2.38,GBP5
TH2vsTH1,CD4_TH1,ENSG00000197057,1,2.32,DTHD1
TH2vsTH1,CD4_TH1,ENSG00000113249,1,2.31,HAVCR1
TH2vsTH1,CD4_TH1,ENSG00000143365,2,2.27,RORC
TH2vsTH1,CD4_TH1,ENSG00000181036,2,2.24,FCRL6
TH2vsTH1,CD4_TH1,ENSG00000148175,4,2.02,STOM
TH2vsTH1,CD4_TH1,ENSG00000263006,1,2.01,ROCK1P1
TH2vsTH1,CD4_TH1,ENSG00000285492,2,1.99,ENSG00000285492
TH2vsTH1,CD4_TH1,ENSG00000158714,1,1.96,SLAMF8
TH2vsTH1,CD4_TH1,ENSG00000159618,2,1.91,ADGRG5
TH2vsTH1,CD4_TH1,ENSG00000137441,2,1.87,FGFBP2
TH2vsTH1,CD4_TH1,ENSG00000177606,2,1.84,JUN
TH2vsTH1,CD4_TH1,ENSG00000232855,1,1.84,ENSG00000232855
TH2vsTH1,CD4_TH1,ENSG00000245869,1,1.83,ENSG00000245869
TH2vsTH1,CD4_TH1,ENSG00000121005,2,1.8,CRISPLD1
TH2vsTH1,CD4_TH1,ENSG00000185499,1,1.64,MUC1
TH2vsTH1,CD4_TH1,ENSG00000186648,1,1.62,CARMIL3
TH2vsTH1,CD4_TH1,ENSG00000100450,1,1.58,GZMH
TH2vsTH1,CD4_TH1,ENSG00000171659,1,1.58,GPR34
TH2vsTH1,CD4_TH1,ENSG00000154764,1,1.57,WNT7A
TH2vsTH1,CD4_TH1,ENSG00000171246,1,1.57,NPTX1
TH2vsTH1,CD4_TH1,ENSG00000180720,1,1.56,CHRM4
TH2vsTH1,CD4_TH1,ENSG00000188389,2,1.55,PDCD1
TH2vsTH1,CD4_TH1,ENSG00000180730,1,1.55,SHISA2
TH2vsTH1,CD4_TH1,ENSG00000266088,2,1.52,ENSG00000266088
TH2vsTH1,CD4_TH1,ENSG00000110852,1,1.5,CLEC2B
TH2vsTH1,CD4_TH1,ENSG00000111863,1,1.42,ADTRP
TH2vsTH1,CD4_TH1,ENSG00000232810,2,1.4,TNF
TH2vsTH1,CD4_TH1,ENSG00000197077,1,1.4,KIAA1671
TH2vsTH1,CD4_TH1,ENSG00000234518,2,1.39,PTGES3P1
TH2vsTH1,CD4_TH1,ENSG00000279942,1,1.33,ENSG00000279942
TH2vsTH1,CD4_TH1,ENSG00000169752,1,1.24,NRG4
TH2vsTH1,CD4_TH1,ENSG00000278144,1,1.16,ENSG00000278144
TH2vsTH1,CD4_TH1,ENSG00000221887,1,1.12,HMSD
TH2vsTH1,CD4_TH1,ENSG00000107317,1,1.11,PTGDS
TH2vsTH1,CD4_TH1,ENSG00000140538,1,1.1,NTRK3
TH2vsTH1,CD4_TH1,ENSG00000153902,1,1.07,LGI4
TH2vsTH1,CD4_TH1,ENSG00000145335,1,1.02,SNCA
TH17vsTH1,CD4_TH1,ENSG00000270379,3,6.55,HEATR9
TH17vsTH1,CD4_TH1,ENSG00000137441,2,6.38,FGFBP2
TH17vsTH1,CD4_TH1,ENSG00000124507,1,4.71,PACSIN1
TH17vsTH1,CD4_TH1,ENSG00000100450,1,4.38,GZMH
TH17vsTH1,CD4_TH1,ENSG00000186810,3,4.2,CXCR3
TH17vsTH1,CD4_TH1,ENSG00000171617,1,3.9,ENC1
TH17vsTH1,CD4_TH1,ENSG00000111537,2,3.72,IFNG
TH17vsTH1,CD4_TH1,ENSG00000255733,2,3.31,IFNG-AS1
TH17vsTH1,CD4_TH1,ENSG00000275302,1,3.2,CCL4
TH17vsTH1,CD4_TH1,ENSG00000100453,1,3.17,GZMB
TH17vsTH1,CD4_TH1,ENSG00000271503,3,2.79,CCL5
TH17vsTH1,CD4_TH1,ENSG00000105374,2,2.66,NKG7
TH17vsTH1,CD4_TH1,ENSG00000163508,2,2.44,EOMES
TH17vsTH1,CD4_TH1,ENSG00000113088,1,2.39,GZMK
TH17vsTH1,CD4_TH1,ENSG00000148773,1,2.35,MKI67
TH17vsTH1,CD4_TH1,ENSG00000186197,2,2.24,EDARADD
TH17vsTH1,CD4_TH1,ENSG00000137812,1,1.98,KNL1
TH17vsTH1,CD4_TH1,ENSG00000181036,1,1.94,FCRL6
TH17vsTH1,CD4_TH1,ENSG00000145649,1,1.92,GZMA
TH17vsTH1,CD4_TH1,ENSG00000115523,1,1.81,GNLY
TH17vsTH1,CD4_TH1,ENSG00000168329,1,1.76,CX3CR1
TH17vsTH1,CD4_TH1,ENSG00000066279,1,1.62,ASPM
TH17vsTH1,CD4_TH1,ENSG00000143842,1,1.47,SOX13
TH17vsTH1,CD4_TH1,ENSG00000112303,1,1.32,VNN2
TH17vsTH1,CD4_TH1,ENSG00000172543,1,1.28,CTSW
TH17vsTH1,CD4_TH1,ENSG00000164483,1,1.28,SAMD3
TH17vsTH1,CD4_TH1,ENSG00000266714,1,1.18,MYO15B
TREGvsTH1,CD4_TH1,ENSG00000146674,1,4,IGFBP3
TREGvsTH1,CD4_TH1,ENSG00000271503,2,3.79,CCL5
TREGvsTH1,CD4_TH1,ENSG00000163508,1,3.69,EOMES
TREGvsTH1,CD4_TH1,ENSG00000085563,1,3.53,ABCB1
TREGvsTH1,CD4_TH1,ENSG00000000971,1,3.51,CFH
TREGvsTH1,CD4_TH1,ENSG00000137441,1,3.49,FGFBP2
TREGvsTH1,CD4_TH1,ENSG00000184613,2,3.41,NELL2
TREGvsTH1,CD4_TH1,ENSG00000067840,1,3.28,PDZD4
TREGvsTH1,CD4_TH1,ENSG00000111537,1,3.26,IFNG
TREGvsTH1,CD4_TH1,ENSG00000168229,2,3.25,PTGDR
TREGvsTH1,CD4_TH1,ENSG00000181036,1,3.23,FCRL6
TREGvsTH1,CD4_TH1,ENSG00000057704,1,3.17,TMCC3
TREGvsTH1,CD4_TH1,ENSG00000156738,2,3.17,MS4A1
TREGvsTH1,CD4_TH1,ENSG00000099194,1,2.96,SCD
TREGvsTH1,CD4_TH1,ENSG00000100450,1,2.95,GZMH
TREGvsTH1,CD4_TH1,ENSG00000133067,1,2.95,LGR6
TREGvsTH1,CD4_TH1,ENSG00000113088,2,2.93,GZMK
TREGvsTH1,CD4_TH1,ENSG00000008283,1,2.91,CYB561
TREGvsTH1,CD4_TH1,ENSG00000077264,2,2.86,PAK3
TREGvsTH1,CD4_TH1,ENSG00000115523,1,2.84,GNLY
TREGvsTH1,CD4_TH1,ENSG00000153898,1,2.78,MCOLN2
TREGvsTH1,CD4_TH1,ENSG00000270379,1,2.78,HEATR9
TREGvsTH1,CD4_TH1,ENSG00000151150,2,2.77,ANK3
TREGvsTH1,CD4_TH1,ENSG00000026751,2,2.77,SLAMF7
TREGvsTH1,CD4_TH1,ENSG00000182253,1,2.75,SYNM
TREGvsTH1,CD4_TH1,ENSG00000158321,1,2.72,AUTS2
TREGvsTH1,CD4_TH1,ENSG00000105374,1,2.71,NKG7
TREGvsTH1,CD4_TH1,ENSG00000141753,1,2.68,IGFBP4
TREGvsTH1,CD4_TH1,ENSG00000196586,1,2.66,MYO6
TREGvsTH1,CD4_TH1,ENSG00000227191,1,2.64,TRGC2
TREGvsTH1,CD4_TH1,ENSG00000211694,1,2.62,TRGV10
TREGvsTH1,CD4_TH1,ENSG00000134107,1,2.61,BHLHE40
TREGvsTH1,CD4_TH1,ENSG00000213949,1,2.59,ITGA1
TREGvsTH1,CD4_TH1,ENSG00000135362,2,2.53,PRR5L
TREGvsTH1,CD4_TH1,ENSG00000197057,1,2.5,DTHD1
TREGvsTH1,CD4_TH1,ENSG00000167851,2,2.49,CD300A
TREGvsTH1,CD4_TH1,ENSG00000115607,1,2.46,IL18RAP
TREGvsTH1,CD4_TH1,ENSG00000172673,1,2.32,THEMIS
TREGvsTH1,CD4_TH1,ENSG00000197077,2,2.28,KIAA1671
TREGvsTH1,CD4_TH1,ENSG00000145649,2,2.22,GZMA
TREGvsTH1,CD4_TH1,ENSG00000159640,1,2.2,ACE
TREGvsTH1,CD4_TH1,ENSG00000147180,1,2.15,ZNF711
TREGvsTH1,CD4_TH1,ENSG00000148175,2,2.12,STOM
TREGvsTH1,CD4_TH1,ENSG00000164398,1,2.11,ACSL6
TREGvsTH1,CD4_TH1,ENSG00000180739,1,2.11,S1PR5
TREGvsTH1,CD4_TH1,ENSG00000117322,1,2.08,CR2
TREGvsTH1,CD4_TH1,ENSG00000169252,1,2.04,ADRB2
TREGvsTH1,CD4_TH1,ENSG00000137501,1,2.03,SYTL2
TREGvsTH1,CD4_TH1,ENSG00000181104,1,1.96,F2R
TREGvsTH1,CD4_TH1,ENSG00000145220,1,1.94,LYAR
TREGvsTH1,CD4_TH1,ENSG00000173114,1,1.93,LRRN3
TREGvsTH1,CD4_TH1,ENSG00000227051,1,1.89,C14orf132
TREGvsTH1,CD4_TH1,ENSG00000169884,1,1.76,WNT10B
TREGvsTH1,CD4_TH1,ENSG00000188001,1,1.65,TPRG1
TREGvsTH1,CD4_TH1,ENSG00000150637,1,1.56,CD226
TREGvsTH1,CD4_TH1,ENSG00000198520,1,1.49,ARMH1
TH0vsTH2,CD4_TH2,ENSG00000197308,2,7.12,GATA3-AS1
TH0vsTH2,CD4_TH2,ENSG00000167641,1,6.33,PPP1R14A
TH0vsTH2,CD4_TH2,ENSG00000280913,2,5.5,CTSLP3
TH0vsTH2,CD4_TH2,ENSG00000050405,2,5.15,LIMA1
TH0vsTH2,CD4_TH2,ENSG00000232638,2,4.88,ENSG00000232638
TH0vsTH2,CD4_TH2,ENSG00000254929,2,3.8,ENSG00000254929
TH0vsTH2,CD4_TH2,ENSG00000107485,2,3.58,GATA3
TH0vsTH2,CD4_TH2,ENSG00000235934,1,3.12,ENSG00000235934
TH0vsTH2,CD4_TH2,ENSG00000131016,1,3.03,AKAP12
TH0vsTH2,CD4_TH2,ENSG00000204177,2,3.03,BMS1P1
TH0vsTH2,CD4_TH2,ENSG00000038532,1,2.86,CLEC16A
TH0vsTH2,CD4_TH2,ENSG00000110324,1,2.69,IL10RA
TH0vsTH2,CD4_TH2,ENSG00000186806,1,2.6,VSIG10L
TH0vsTH2,CD4_TH2,ENSG00000205730,1,2.58,ITPRIPL2
TH0vsTH2,CD4_TH2,ENSG00000103942,1,2.24,HOMER2
TH0vsTH2,CD4_TH2,ENSG00000229647,1,2.12,MYOSLID
TH0vsTH2,CD4_TH2,ENSG00000261759,1,2.11,ENSG00000261759
TH0vsTH2,CD4_TH2,ENSG00000237596,1,2.03,ENSG00000237596
TH0vsTH2,CD4_TH2,ENSG00000124813,1,2.02,RUNX2
TH0vsTH2,CD4_TH2,ENSG00000172965,2,1.98,MIR4435-2HG
TH0vsTH2,CD4_TH2,ENSG00000274021,1,1.96,ENSG00000274021
TH0vsTH2,CD4_TH2,ENSG00000188001,1,1.94,TPRG1
TH0vsTH2,CD4_TH2,ENSG00000231028,2,1.92,LINC00271
TH0vsTH2,CD4_TH2,ENSG00000257453,1,1.89,ENSG00000257453
TH0vsTH2,CD4_TH2,ENSG00000152217,1,1.81,SETBP1
TH0vsTH2,CD4_TH2,ENSG00000167642,1,1.81,SPINT2
TH1vsTH2,CD4_TH2,ENSG00000163106,2,7.51,HPGDS
TH1vsTH2,CD4_TH2,ENSG00000154096,2,7.3,THY1
TH1vsTH2,CD4_TH2,ENSG00000189221,2,6.74,MAOA
TH1vsTH2,CD4_TH2,ENSG00000137869,1,6.61,CYP19A1
TH1vsTH2,CD4_TH2,ENSG00000197308,4,6.19,GATA3-AS1
TH1vsTH2,CD4_TH2,ENSG00000217825,2,5.93,ENSG00000217825
TH1vsTH2,CD4_TH2,ENSG00000228216,1,5.79,ENSG00000228216
TH1vsTH2,CD4_TH2,ENSG00000120659,5,5.66,TNFSF11
TH1vsTH2,CD4_TH2,ENSG00000112902,4,5.35,SEMA5A
TH1vsTH2,CD4_TH2,ENSG00000250786,2,5.28,SNHG18
TH1vsTH2,CD4_TH2,ENSG00000137507,3,5.18,LRRC32
TH1vsTH2,CD4_TH2,ENSG00000056736,4,5.08,IL17RB
